StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
328 hydro,Vrangfoss 3,hydro,6725,36.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,22.4497958820878,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,36.0
329 hydro,Vrenga 2,hydro,6724,10.5,177831.093925293,1523.2,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,3.72450383694063,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,10.5
330 hydro,Viulfoss,hydro,6719,12.5,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,8.53439522334364,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,12.5
331 hydro,Tussa,hydro,6857,64.0,177831.093925293,3045.15,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,40.1921612499883,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,64.0
333 hydro,Tinfos 4,hydro,6725,44.5,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,27.7504421320252,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,44.5
334 hydro,Tistedalsfoss,hydro,6629,20.0,177831.093925293,219.555,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,13.6550323573498,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_1,20.0
335 hydro,Tjonnefoss,hydro,6372,6.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,3.74163264701463,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,6.0
336 hydro,Toklev,hydro,6726,4.8,177831.093925293,1645.3125,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,0.0
337 hydro,Tosdalen 2,hydro,6939,19.3,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,7.86067453567728,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,19.3
338 hydro,Tosse,hydro,6747,3.5,177831.093925293,264.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,0.0
339 hydro,Tou,hydro,6688,1.1,177831.093925293,247.272727272727,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,0.0
340 hydro,Trengereid 2,hydro,6747,3.5,177831.093925293,749.828571428571,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,0.0
341 hydro,Tryland,hydro,6362,5.4,177831.093925293,949.666666666667,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,3.36746938231317,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,5.4
342 hydro,Tveitereidfoss,hydro,6728,2.6,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,0.0,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,0.0
343 hydro,Tya 3,hydro,7061,32.0,177831.093925293,668.775,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,20.0960806249941,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_3,32.0
